Product Number,Part number,SKU - Description,Price,Category,Category Number
489388,IWAX236PC,489388-BIT WOOD 6PC SPEEDBOR IRWIN,43.7,TOOLS/HARDWARE,924
489412,56012,489412-BRUSH GLUE 50PC SET,6.4,PAINT / SUNDRIES,930
489420,56590,489420-SANDPAPER D.WALL 43/16X11 G150,1.79,PAINT / SUNDRIES,930
489421,56583,489421-SANDPAPER D.WALL 43/16X11 G120,2.05,PAINT / SUNDRIES,930
489422,56576,489422-SANDPAPER D.WALL 43/16X11 G100,2.05,PAINT / SUNDRIES,930
489423,44476,489423-SANDPAPER REG. SPONGE MED-FINE,0.9,PAINT / SUNDRIES,930
489424,44452,489424-SANDPAPER REG. SPONGE MED-COAR,0.9,PAINT / SUNDRIES,930
489425,52165,489425-SANDING SCREEN 43/16X11 G150(2,1.94,PAINT / SUNDRIES,930
489426,51052,489426-SANDING SCREEN 43/16X11 G120(2,1.94,PAINT / SUNDRIES,930
489427,51045,489427-SANDING SCREEN 43/16X11 G100(2,1.94,PAINT / SUNDRIES,930
489428,57627,489428-SANDPAPER D.WALL43/16X11 G150,5.48,PAINT / SUNDRIES,930
489429,57610,489429-SANDPAPER D.WALL 43/16X11 G120,5.48,PAINT / SUNDRIES,930
489430,57603,489430-SANDPAPER D.WALL 43/16X11 G100,5.48,PAINT / SUNDRIES,930
489431,57405,489431-SPONGE DUAL ANGLE MED-FINE,1.16,PAINT / SUNDRIES,930
489432,57436,489432-SPONGE DUAL ANGLE MED-COARSE,1.16,PAINT / SUNDRIES,930
489433,57443,489433-SPONGE SANDING 2 3/4 X9 MED-FI,1.73,PAINT / SUNDRIES,930
489434,57580,489434-SANDING SCREEN 43/16X11G150(10,5.17,PAINT / SUNDRIES,930
489435,57573,489435-SANDING SCREEN 43/16X11G120(10,5.17,PAINT / SUNDRIES,930
489436,57566,489436-SANDING SCREEN 43/16X11G100(10,5.17,PAINT / SUNDRIES,930
489438,57078,489438-ABRASIVE PAD 6X9 XFINE (2),1.86,PAINT / SUNDRIES,930
489439,57108,489439-ABRASIVE PAD 6X9 FINE (2),1.86,PAINT / SUNDRIES,930
489440,57092,489440-ABRASIVE PAD 6X9 COARSE (2),1.86,PAINT / SUNDRIES,930
489442,42050,489442-SANDPAPER H & L 2 3/4X5 G220(4,1.47,PAINT / SUNDRIES,930
489443,42043,489443-SANDPAPER H & L 2 3/4X5 G150(4,1.47,PAINT / SUNDRIES,930
489444,42029,489444-SANDPAPER H&L 2 3/4X5 G120(4),1.47,PAINT / SUNDRIES,930
489445,42036,489445-SANDPAPER H&L  2 3/4X5 G80(4),1.47,PAINT / SUNDRIES,930
489446,54367,489446-SANDING SPONGE SIASOFT G320(2),2.01,PAINT / SUNDRIES,930
489449,T060,489449-TRAY ROLLER POLY 100MM,3.29,PAINT / SUNDRIES,930
489449,T-060,489449-TRAY ROLLER POLY 100MM,1.43,PAINT / SUNDRIES,930
489450,53247,489450-SANDING SPONGE SIASOFT G220(2),2.01,PAINT / SUNDRIES,930
489451,52196,489451-SANDING SPONGE SIASOFT G120(2),2.01,PAINT / SUNDRIES,930
489452,52172,489452-SANDING SPONGE SIASOFT G80 (2),2.01,PAINT / SUNDRIES,930
489453,57702,489453-SANDING BLOCK CORNER,6.75,PAINT / SUNDRIES,930
489454,57788,489454-SANDING SPONGES REG. M-FINE5PK,3.95,PAINT / SUNDRIES,930
489457,T050,489457-TRAY ROLLER FOR 75MM ROLLER,1.59,PAINT / SUNDRIES,930
489457,T-050,489457-TRAY ROLLER FOR 75MM ROLLER,0.82,PAINT / SUNDRIES,930
489460,R620,489460-ROLLER PROFESSIONAL LINTFREE,2.5,PAINT / SUNDRIES,930
489460,R-620,489460-ROLLER PROFESSIONAL LINTFREE,2.5,PAINT / SUNDRIES,930
489461,A091,489461-ROLLER TRIM LINTFREE 100MMX6MM,1.25,PAINT / SUNDRIES,930
489461,A-091,489461-ROLLER TRIM LINTFREE 100MMX6MM,2.89,PAINT / SUNDRIES,930
489462,A136,489462-ROLLER TRIM FOAM SUPERFINE 2PK,1.63,PAINT / SUNDRIES,930
489462,A-136,489462-ROLLER TRIM FOAM SUPERFINE 2PK,2.07,PAINT / SUNDRIES,930
489466,F185,489466-ROLLER CAGE LTWT EXT HANDLE,6.24,PAINT / SUNDRIES,930
489466,F-185,489466-ROLLER CAGE LTWT EXT HANDLE,6.24,PAINT / SUNDRIES,930
489467,T2005,"489467-ROLLER TRAY 4L 9-1/2""",7.17,PAINT / SUNDRIES,930
489467,T-2005,"489467-ROLLER TRAY 4L 9-1/2""",7.17,PAINT / SUNDRIES,930
489469,69562,489469-AL. OXIDE ROLL 3 2/3X16' G180,7.1,PAINT / SUNDRIES,930
489470,69555,489470-AL. OXIDE ROLL 3 2/3X16' G120,7.1,PAINT / SUNDRIES,930
489471,69548,489471-AL. OXIDE ROLL 3 2/3X16' G80,6.63,PAINT / SUNDRIES,930
489472,69531,489472-AL. OXIDE ROLL 3 2/3X16' G60,6.49,PAINT / SUNDRIES,930
489473,57658,489473-STANDARD PADS EN2272 180 GRIT,2.39,PAINT / SUNDRIES,930
489474,57641,489474-STANDARD PADS EN2272 100 GRIT,2.39,PAINT / SUNDRIES,930
489475,57634,489475-STANDARD PADS EN2272 60 GRIT,2.39,PAINT / SUNDRIES,930
489476,62518,489476-AL. OXIDE SHEET 9X11 G 40,0.72,PAINT / SUNDRIES,930
489476,89129,489476-AL. OXIDE SHEET 9X11 G 40,0.5,PAINT / SUNDRIES,930
489477,62525,489477-AL. OXIDE SHEET 9X11 G60,0.66,PAINT / SUNDRIES,930
489477,89143,489477-AL. OXIDE SHEET 9X11 G60,0.46,PAINT / SUNDRIES,930
489478,62532,489478-AL. OXIDE SHEET 9X11 G80,0.58,PAINT / SUNDRIES,930
489478,89150,489478-AL. OXIDE SHEET 9X11 G80,0.41,PAINT / SUNDRIES,930
489479,62549,489479-AL. OXIDE SHEET 9X11 G100,0.42,PAINT / SUNDRIES,930
489479,89167,489479-AL. OXIDE SHEET 9X11 G100,0.41,PAINT / SUNDRIES,930
489480,62556,489480-AL. OXIDE SHEET 9X11 G120,0.45,PAINT / SUNDRIES,930
489480,89174,489480-AL. OXIDE SHEET 9X11 G120,0.41,PAINT / SUNDRIES,930
489481,62563,489481-AL. OXIDE SHEET 9X11 G150,0.42,PAINT / SUNDRIES,930
489481,89181,489481-AL. OXIDE SHEET 9X11 G150,0.41,PAINT / SUNDRIES,930
489482,62570,489482-AL. OXIDE SHEET 9X11 G180,0.42,PAINT / SUNDRIES,930
489482,89198,489482-AL. OXIDE SHEET 9X11 G180,0.41,PAINT / SUNDRIES,930
489483,62587,489483-AL. OXIDE SHEET 9X11 G220,0.44,PAINT / SUNDRIES,930
489483,89204,489483-AL. OXIDE SHEET 9X11 G220,0.41,PAINT / SUNDRIES,930
489484,704629,489484-PUNCH STAMP 38PC SET NUM&LET,18.3,TOOLS/HARDWARE,924
489485," 70120",489485-PUNCH SET 4PC LONG TAPERED,15.3,TOOLS/HARDWARE,924
489485,P013600,489485-PUNCH SET 4PC LONG TAPERED,14.01,TOOLS/HARDWARE,924
489486,P013642,489486-PUNCH HOLLOW 8PC,7.75,TOOLS/HARDWARE,924
489487,PR.8131.TOP,489487-VF SANDPAPER DISPLAYER,0.01,NON MERCHANDISE,977
489593,62617,489593-AL. OXIDE SHEET 9X11 G320,0.44,PAINT / SUNDRIES,930
489593,89235,489593-AL. OXIDE SHEET 9X11 G320,0.41,PAINT / SUNDRIES,930
489594,09769,489594-EMERY CLOTH SHEET 9X11 G60,0.71,PAINT / SUNDRIES,930
489606,09752,489606-EMERY CLOTH SHEET 9X11 G80,0.71,PAINT / SUNDRIES,930
489607,09745,489607-EMERY CLOTH SHEET 9X11 G120,0.71,PAINT / SUNDRIES,930
489609,18496,489609-WET/DRY SHEET 9X11 G320,0.57,PAINT / SUNDRIES,930
489615,18526,489615-WET/DRY SHEET 9X11 G400,0.57,PAINT / SUNDRIES,930
489616,18557,489616-WET/DRY SHEET 9X11 G 600,0.57,PAINT / SUNDRIES,930
489617,019151M,"489617-TOOL BOX 19"" STANLEY",18.63,TOOLS/HARDWARE,924
489629,61378,489629-SILICON CARBIDE 9X11 G400,0.64,PAINT / SUNDRIES,930
489633,61347,489633-SILICON CARBIDE 9 X 11 G320,0.56,PAINT / SUNDRIES,930
489654,61286,489654-SILICON CARBIDE 9 X 11 G240,0.56,PAINT / SUNDRIES,930
489657,61255,489657-SILICON CARBIDE 9 X 11 G220,0.61,PAINT / SUNDRIES,930
489662,61224,489662-SILICON CARBIDE 9 X 11 G180,0.61,PAINT / SUNDRIES,930
489700,PB9,"489700-BINS PLASTIC 9X5X5"" RED",2.33,TOOLS/HARDWARE,924
489701,PB-12,"489701-BIN PLASTIC 12X7X6"" BLUE",4.28,TOOLS/HARDWARE,924
